CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
EGR3	0.129487700888011	0.117622966535352	0.0254494013933482	0.121249498638722	0.33475344503114	0.0501837778250389	0.146793746688229	0.0724420703554799	0.135971639228065
EHF	0.092886794395195	0.0868516756199	0.0174206020451891	0.0531841555778391	0.108456119974337	0.0243608318093093	0.0849929703577605	0.0412204338523043	0.0739417410742422
ELF1	0.174889219198221	0.166222027454686	0.0293815338588918	0.11134209176877	0.271973335968882	0.0540859903817491	0.152490931095298	0.082949803600906	0.160443721138495
ELF2	0.195917107845208	0.182226326221601	0.0285128630589352	0.105499720913577	0.246848245754907	0.0494123993461515	0.151478435018369	0.0803789802599649	0.152259956358739
ELK1	0.177501811271075	0.173854752913259	0.0315849055043957	0.104349376134425	0.257661422114921	0.0554359207178264	0.141532613301626	0.0844882413810016	0.167998100733652
ELK3	0.14848020390403	0.148521202398865	0.0266556688667281	0.111891744224475	0.278539083305152	0.0684809464549941	0.127139944361994	0.0699031044981027	0.169581661072521
ELK4	0.181039505905232	0.165434109046932	0.0290494923496597	0.123788664380232	0.250932187550966	0.0524780976840752	0.141312306251942	0.0931601104063176	0.158891179179191
EOMES	0.176434296677122	0.185968838077879	0.0409495395946604	0.10479791755789	0.264972758502565	0.0577270810755961	0.132861504347974	0.0789229883839446	0.158305055987246
EP300	0.178050828367252	0.16862585105894	0.0286689659463373	0.111621661571748	0.256992647785221	0.0502395562417194	0.153415830965075	0.0819661634714756	0.156017681932028
ERF	0.155441547433735	0.137821122636497	0.0289505703693514	0.106109876923283	0.215162267766081	0.0515201084192503	0.130234717349928	0.0896087073613137	0.151562708263487
ESR1	0.0547026587014688	0.055283380690889	0.0176186552943862	0.0360720356187041	0.0872908602899274	0.0281028520631812	0.0668389727719888	0.0328047193801299	0.0600325071711626
ESRRA	0.166344606666671	0.165197775624369	0.0304692277719188	0.134716282638405	0.262859213246481	0.0546712109095897	0.117924753981357	0.0842115200717483	0.158309980707816
ETS1	0.188934497682478	0.177186921784152	0.0291722089331033	0.114498207090762	0.258790542830639	0.0514019068817274	0.14482860108652	0.0832574644139671	0.157234834914477
ETS2	0.167367759409036	0.162759809276772	0.0290827526807614	0.109633605455396	0.268267500670147	0.0531880890985399	0.144193775521634	0.081430766944802	0.169135204569289
ETV1	0.173376369801811	0.169444979831481	0.0318681771768408	0.100905557451489	0.241744390518963	0.0460274742509887	0.143267630020534	0.0812378376170103	0.155270765344876
ETV2	0.182918860991033	0.135045166936211	0.0254587511291752	0.101411692210785	0.21791711850372	0.0386016433615901	0.153700552983862	0.0737920963424856	0.130855319034158
ETV3	0.148876472743007	0.142762205862659	0.0286657138060085	0.109111311400976	0.301195581065427	0.0567332263950566	0.159615497751491	0.0748828781391767	0.158201360512158
ETV4	0.174989599260926	0.159966447353949	0.0283044454344811	0.0868171635892669	0.200656726998327	0.0456855050493951	0.131849887674159	0.0779620404137108	0.146177122573628
ETV5	0.148197708918027	0.137862437597043	0.0231666645989104	0.104303478360248	0.180853356710382	0.0338148668221803	0.129773565534066	0.112849897453202	0.132702161132459
ETV6	0.181008419135606	0.166814890383271	0.0288996390848555	0.106332675715088	0.224519161531663	0.0510378397326401	0.149628160712205	0.102723792939878	0.15680788332034
ETV7	0.164513055320154	0.168158437607068	0.0326995807761314	0.111573204723928	0.266090859420876	0.0620835925239466	0.131560492919131	0.0851296108290067	0.181922990074425
FLI1	0.197128173345615	0.189824199371576	0.0303663542127879	0.105316880567279	0.252623260017404	0.0529704774292227	0.143253620216344	0.0777417340146869	0.153360704601431
FOS	0.177526514330873	0.166667148262575	0.028268305774567	0.106834696734254	0.27985543561501	0.0527971403381947	0.155149685786669	0.077335947474656	0.152669066213094
FOSB	0.161116890021051	0.1562100175856	0.0281765695671756	0.101443368106334	0.300015358655158	0.0553085663516577	0.159018111990725	0.0736525730116364	0.152304599139429
FOSL1	0.131857122352318	0.145717446796313	0.0284398199475034	0.094446630024773	0.328496437674555	0.0539064774143195	0.157797574329673	0.0637579292516745	0.146434307662721
FOSL2	0.156406889807876	0.15390712733881	0.030264386904398	0.106424372650646	0.294082774759203	0.0571175788802133	0.156795782764304	0.0751822512760814	0.160280412712915
FOXA1	0.108297384196731	0.103871058415033	0.0219121128365554	0.0601040742786425	0.14422718269086	0.0338016499879974	0.105858244749658	0.0502441562848663	0.13628555965282
FOXA3	0.109811950665707	0.0809842605541081	0.0171568346930117	0.12154416324607	0.169732812468576	0.0226622393626267	0.0934060778956471	0.0499334390950632	0.113051163809358
FOXC1	0.156691636052311	0.161397499555051	0.0238249765177245	0.0793450901662376	0.177303798673429	0.0412014361210709	0.109295582627788	0.0642168141653757	0.115861173729021
FOXF1	0.125598572246005	0.116181066409616	0.0247216677184846	0.120248926391694	0.218382048161244	0.0416278545853439	0.149100348750067	0.104697646504917	0.163767870318695
