Fetal stromal 1	Stromal 1	Fetal stromal 2	Stromal 2	Stromal 3	Transitional stromal	FDC	mLTo	Inflammatory fibroblast	Reticular fibroblast	Cycling stromal	Myofibroblast 1	Myofibroblast 2	SMC 1	SMC 2	Cycling SMC	Immature pericyte	Mature pericyte	Mesoderm 1	Mesoderm 2	Mesothelium
BRCA1	0.107020761737765	0.162630252135579	0.0795399974948299	0.0902128558379403	0.0904279240197007	0.0292612066349935	0.00154457005916431	0.00413892155434048	0.0258519753477013	0.0132011573558655	0.146735269341665	0.0544243611408677	0.0240796886702053	0.0687890378491166	0.0288824959933545	0.0179805680520321	0.0885288925329143	0.015806825310375	0.123529076494948	0.187561867315827	0.0168375109895915
BRF1	0.103230415453318	0.172622015382352	0.0824686019126319	0.0717959324048489	0.0886038613948013	0.033739168051602	0.0015656315173932	0.0052067893902773	0.0332227766641084	0.0153001369972611	0.0659511659021873	0.0485832098383623	0.0180633171745312	0.0603964999009072	0.0250194126121774	0.00873240767390726	0.0843243635203481	0.0178689775661087	0.10486390900909	0.174836662108739	0.0164840517041043
BRF2	0.100740655145517	0.17468784413326	0.0772960448181267	0.0981382091688419	0.108436657841522	0.034953850282429	0.00122876906191793	0.00479646236076114	0.0354375755999965	0.0157944985118714	0.104075347131195	0.0513217977796703	0.0246137093574325	0.0491458045032583	0.0261816981343606	0.0094751846518325	0.0703970455561653	0.0102000366337373	0.11721161359295	0.211047057229969	0.0152649863817057
CEBPA	0.094908038431501	0.0573107715762442	0.076980066269931	0.0440639697182187	0.0816755320956876	0.0112188974945112	0.000825878214679721	0.00277336479333545	0.0125570576007592	0.00707155332866427	0.0794641867564334	0.0475362325210454	0.00483388431043008	0.0771595728793529	0.0288921624033768	0.0135142900920748	0.0544462330247131	0.0047525892064807	0.148994499561629	0.177681339128327	0.0169024535997473
CEBPB	0.1099376769201	0.205599219554545	0.0873058320766011	0.118914127541889	0.0841677972807925	0.0388256003070793	0.00169590826353239	0.00417827519682579	0.0381087437053804	0.01659654720852	0.0924418762523198	0.055237009202186	0.0283327366829564	0.0633428795020715	0.0285184529810353	0.0117655954115301	0.0882546059426936	0.0181450353557188	0.101360071848292	0.171536493092009	0.0164141775676563
CEBPD	0.115524061643266	0.202354956110515	0.0917927861118147	0.111225023741517	0.0858959581341798	0.043896074654023	0.00155182134525134	0.00414542498264636	0.0323476301343484	0.0156691187187482	0.0924589903164047	0.0581548686129322	0.0269114703449747	0.0613198793154285	0.02912124290925	0.0112969535015117	0.0850885426030557	0.0172075154451219	0.0989151047753282	0.176383805111912	0.0165494998705686
CEBPG	0.111197530284677	0.190885556964663	0.0814861932404577	0.109398772688965	0.086830958848877	0.0434154574547755	0.00168788918294116	0.00431388315784198	0.0378040173303643	0.0162637084994454	0.0940856930282825	0.0586107069391331	0.0270050483031867	0.0677801302738379	0.0311498723572378	0.0122284894155966	0.0890606696067888	0.0200541581896507	0.0978243830098022	0.177231065466688	0.0168368044510268
CEBPZ	0.0242199152471433	0.0218957225935291	0.0207144950819212	0.0221276501294974	0.0347583693765422	0.0100773001742573	0.000756839001310405	0.00260119429436356	0.00382552694808058	0.00367807040566837	0.0163414532837634	0.0166877296040122	0.00680135532179516	0.0196168588823563	0.02080375095729	0.00190611292097886	0.0458235519543259	0.026099632890264	0.0392508587904746	0.0275847341503992	0.00417744283448895
CERS4	0.0106385647863062	0.0149621555368512	0.0065466420837651	0.0108363542726192	0.0101002391104945	0.0131115148905903	-8.88178419700125e-16	0.00102059369996665	0.0042580345918104	0.00458503136987098	0.00642433466613201	0.00534293059883428	0.00512936467109304	0.00349728448053699	0.00239002216121154	0.000608806783298776	0.00571457824202903	0.00526076951381349	0.012645830114146	0.0135816358709379	0.00264023569557326
CHD2	0.119811272515886	0.187178685077762	0.0844669674727884	0.0931267536321517	0.0851930733636217	0.0368246057601657	0.00185150585895244	0.0043913750053356	0.0198795337800117	0.0135074163718791	0.0953270408715868	0.0612600742681267	0.0261581634371238	0.0628612987302299	0.0251239549633112	0.0112871195997689	0.080680163201723	0.016482731303546	0.112641870704137	0.195578136310952	0.0144194468114999
