CD8+ Tn	CD8+ Tcm	CD8+ Teff	CD8+ Tem	CD8+ Trm	CD8+ IEL	CD8+ Tc17	CD8+ MAIT	CD8+ activated T
FOSL1	0.12187820662065	0.063611473183759	0.0763723567726381	0.205357713334732	0.301499640344324	0.181383485070452	0.0483293851046845	0.0676066400138303	0.089837042672918
FOSL2	0.136207180384596	0.0714873805041578	0.0857222042570926	0.198595727862919	0.274041794404109	0.209169124592596	0.0502705348823729	0.0636568618025685	0.101578357627471
FOXA3	0.0436247813725804	0.0298426989556133	0.046131182843697	0.0770886860062872	0.0901752505484011	0.0780668397317301	0.0272018027472063	0.0317034149914631	0.0793015381533212
FOXD1	0.102792274911045	0.0483360485684462	0.0568725738920258	0.11804991004626	0.152685875448209	0.0982006826435281	0.0214198931824082	0.0318962752358425	0.0581692215043199
FOXF1	0.00869950670648845	0.00505012388086079	0.00944764952029731	0.0203691175619765	0.0252432108569164	0.0184609584014316	0.00578657493307289	0.00798226929661772	0.00911389305576238
FOXJ2	0.081225578551517	0.0375394538370045	0.0844157450711419	0.126590607896999	0.134109042456487	0.117494986662425	0.0482653379035103	0.0404952728126761	0.0616596638895508
FOXJ3	0.076115822784714	0.0395339784279252	0.052541560181954	0.0830074014343538	0.0944452194143931	0.0926099547744464	0.0268572530528922	0.036724823966553	0.0538203394978676
FOXK1	0.160792950854581	0.0770792296878468	0.0789225748193308	0.162022730016312	0.258224000722922	0.209136682236334	0.0442715430040753	0.0576362813923549	0.0809683001070142
FOXK2	0.166706516041001	0.0705982392521175	0.105273998069708	0.136053216375011	0.176377093700486	0.145087896396176	0.0366083067749113	0.0584454378893935	0.0815225264548725
FOXN3	0.119707134577831	0.0574572801942843	0.0624416863004856	0.0920113727111954	0.127793809865135	0.135599826627846	0.0460412068078214	0.041330463785577	0.0571674784525937
FOXO1	0.173275790325622	0.100727577245925	0.0819288582770753	0.161146824425628	0.230490296724275	0.165232156647435	0.0341268576838334	0.0558109361914834	0.101187863255995
FOXO3	0.151170727697911	0.0832364357370166	0.0946140728656614	0.159423593826541	0.254526412662218	0.198775828775517	0.0400477086054345	0.0644215887847209	0.0847323987052602
FOXP1	0.200023779084727	0.0865502617065733	0.0830817162804777	0.176420209805556	0.248114166748381	0.195850725378365	0.045135296389452	0.0576216423652393	0.0960879024567218
FOXP2	0.129847140126542	0.06578853666381	0.0717413199852479	0.125368173262291	0.168948983508434	0.14754673998927	0.0295066196249363	0.05018682866173	0.0723325808908751
FOXP3	0.15880887884354	0.0861654841373553	0.067912762525879	0.159637719723388	0.216838574036839	0.143476698556422	0.0636277293178479	0.0654678432838205	0.0878495403720025
FOXP4	0.126105585167988	0.0732825108905651	0.0963842508995275	0.205591848419221	0.229634737194734	0.17163534924156	0.0440578304960563	0.0588856755729811	0.0948029460371125
GABPA	0.113290705583936	0.0645411052319058	0.0901959864314235	0.184512463132672	0.258034194315985	0.171454918898932	0.0448887334709666	0.0639350541906334	0.0846582500545182
GABPB1	0.155758347988869	0.0750141382492578	0.086910941504723	0.189319706202756	0.268113120305086	0.220587268534751	0.0501975939913633	0.0622505477822793	0.0869166232857737
GATA1	0.135978601248164	0.0717131035879917	0.0984928934172788	0.167573386348701	0.222125415475003	0.175965428529919	0.0356033838746503	0.0494317283217542	0.0889269965595385
GATA2	0.131366332365483	0.0722545589744245	0.0951064238249589	0.194782102114305	0.264139542360418	0.212734031432745	0.0501228358114465	0.0645157466332749	0.0928025164185287
GATA3	0.124439193173431	0.0822027687000383	0.078072673022297	0.190054286028754	0.301679175084942	0.190646544126895	0.0462497206835673	0.0605647378703414	0.0918777150176724
GATA6	0.158437273007727	0.080869945976746	0.0956514188185432	0.174464158484382	0.238558421666956	0.169511579439113	0.0374142735182715	0.0597810843714592	0.103391597585657
GFI1	0.050773785670151	0.0466279791743975	0.0790330066204298	0.076414261112366	0.106498877421415	0.19183294930255	0.04331862765396	0.0325206816036405	0.0660186437204289
GLIS3	0.0813320963947896	0.0515024467740739	0.0822145708241288	0.107897411753889	0.0940633455841968	0.0673532792664304	0.0189010447498561	0.0414999973528752	0.063050257479689
GMEB2	0.160980159909014	0.0797246598224054	0.0959892809661257	0.182291733877355	0.241939825683993	0.201067074483621	0.0470305345000267	0.0656609724004102	0.0997483381296728
GSC	0.0738994229825174	0.0447250304519066	0.0623324122135448	0.082044405595302	0.0891869284002822	0.0755946003764727	0.0178070327246462	0.033543408679477	0.0565999782423158
GTF2B	0.135344205258284	0.0720646848079417	0.0765852636191779	0.200522156273959	0.294649055799844	0.18732699440089	0.0493398953081454	0.0651712201788077	0.096845479846608
GTF2I	0.0919944485010471	0.0571670315480263	0.0756178778531931	0.107447436343506	0.131381984992467	0.120595733565215	0.0301013531253573	0.0423019305240545	0.060841380946252
GTF3C2	0.193549085017247	0.108128219356715	0.0550261102642735	0.116884935713301	0.209775141882923	0.140090492243397	0.0564581326196308	0.0859130274320534	0.0907062463501614
HDAC2	0.171381844901879	0.0819085180311889	0.0967605249919006	0.185875092332947	0.243907934634539	0.217717597437306	0.0474907038738127	0.063735495367521	0.0961117422985608
HES1	0.119712015475388	0.0384917435582234	0.0654249861456107	0.155067237116658	0.220590563448635	0.114410865802063	0.0186744257796911	0.028667993096022	0.0494858555989687
HES6	0.0139274335980247	0.0132700487161291	0.0348631236139614	0.0223680117528946	0.027477478118286	0.0939093845442818	0.0180532376589722	0.0434426415862937	0.0518767331750475
HES7	0.15633686854391	0.0780961037020695	0.0819022897726112	0.190923718251904	0.264813276122012	0.195717888659844	0.0466816632874444	0.0641294614334547	0.0834849993674157
HEY2	0.0932863545075945	0.0548352852541552	0.064344543857757	0.154242734126926	0.208306690568654	0.119386584372202	0.0337643527348956	0.0446450909960584	0.069298992825779
HIC1	0.145754832487213	0.0762900221088608	0.092450709945077	0.185956424310187	0.256308408040122	0.233241666711985	0.0499708380891324	0.0617514888452193	0.0963015707985813
HIVEP1	0.127702487668415	0.0781492413292967	0.0859221120476515	0.214264651530939	0.251730509652108	0.152830280077028	0.0510158600323806	0.066188088985581	0.0948616927100527
HLF	0.0933340057714629	0.0607967686203085	0.0786665067886166	0.152544060960213	0.25900463959633	0.181921955750316	0.067278562390593	0.0719609479694971	0.0607498643595047
HMGA1	0.168593507130176	0.0839016111658769	0.0936884853907793	0.178452081971636	0.236422461933597	0.220729587307124	0.0499815055651872	0.0652057489740833	0.0950713443993793
