Non-classical monocyte	Classical monocyte	Inflammatory monocyte	APOE+ macrophage	LYVE1+ macrophage	AREG+ macrophage	Cycling macrophage	cDC1	cDC2	pDC	LAMP3+ DC	Mast	Megakaryocyte
BCL3	0.0800372250359012	0.362760828913938	0.10156582832077	0.142288782308779	0.110467488219471	0.0414067192496819	0.0309353035295011	0.0322039589392691	0.1472223530039	0.023836644718335	0.0318313251075995	0.0959665101759393	0.00960984599688308
BCL6	0.039221279631406	0.683748013377666	0.0724134400727532	0.0152234410106371	0.0145702090127442	0.00625317106694667	0.00426648561252962	0.00758982335395442	0.0287774387991208	0.00344736706511939	0.00246380898842014	0.00358291679229461	0.011359004855687
BCLAF1	0.0810764823445654	0.391689916786898	0.0798908496384474	0.131848090853848	0.110056310094978	0.0418563299445648	0.0316527889338374	0.0305336388447668	0.134379154483904	0.0283482103636709	0.0233699789544802	0.107628456558888	0.0104140952603524
BDP1	0.072150872012972	0.316255526402946	0.0519052141789133	0.0845763749743595	0.104239632634838	0.0391901019167005	0.0279530655875035	0.0227830947330553	0.109750403142642	0.0307617409601321	0.016056438712598	0.0836754629193744	0.00646879351650154
BHLHE40	0.0768722459797408	0.350046053957115	0.0898389542564102	0.147349284155211	0.118719846451696	0.0434746347276113	0.0335449895016507	0.0333661723842039	0.149915576110511	0.026855943896995	0.0281583485797807	0.11453395749159	0.00898656430539091
BHLHE41	0.00173056181240516	0.00571964298051919	0.00696531091746344	0.014490673003534	0.00850699017044843	0.00811596588989738	0.00600388523253825	0.00501557347704684	0.00620523046302701	0.0182763348636146	0.00513713177966357	0.0174679038648327	0.00144227329290691
BRCA1	0.0701830831972063	0.35929026346688	0.0754519353794469	0.144779021406841	0.116159133062771	0.0430621120641237	0.0493380594491881	0.0312389251959228	0.130043689295299	0.0314539309685726	0.0223941447417997	0.122321091441351	0.0108044796156391
BRF1	0.0802388477112482	0.308822425385911	0.0762186879487315	0.111711468824714	0.101216165780894	0.0383520699569013	0.0173168105796666	0.0191222949698391	0.0857506161803199	0.023409391324169	0.018096624964399	0.0954081984653533	0.00958223889890486
BRF2	0.0659858087000611	0.311392864882166	0.0835384956335928	0.137288938107994	0.150181843576436	0.0319260004630142	0.0451012956181838	0.0338917000462444	0.138197630945264	0.0203683017811573	0.0279184935907205	0.116242783946496	0.0111888483259077
CEBPA	0.0538203970306538	0.313175088841507	0.06368542654959	0.240139298515246	0.117062819251899	0.0378563692591393	0.0377111845012879	0.0150153933032678	0.0879444080140712	0.0189076990136282	0.0137549984569687	0.111205090002492	0.00636543921615584
CEBPB	0.0764184029463002	0.358518880990085	0.0944000523288062	0.165464185795674	0.124192775195665	0.0464193673100503	0.0351111054779666	0.0281056697648266	0.13684426457043	0.0230117800417298	0.0227015413911882	0.0943654298485145	0.00942901242307459
CEBPD	0.0774579307436657	0.375128625157184	0.0833850124916058	0.148848054570125	0.123818414963191	0.0440634198683665	0.0351486819070286	0.0292140154157975	0.138245027131904	0.0244635511707572	0.0222472400261063	0.0972590161709224	0.00922433316807714
CEBPE	0.0761070696775579	0.516275917646397	0.0668672799400772	0.0680884886096773	0.0553252963631746	0.0231726273996966	0.0264778547605264	0.0157430564328751	0.0996580913359051	0.0195736907641795	0.0112034525121786	0.0563500128423614	0.0100661226519639
CEBPG	0.0805687571972821	0.398409752988171	0.119795932058334	0.124362696034607	0.0802917069583735	0.0285472340274991	0.0256539267078657	0.0230010461817511	0.110440214303354	0.0161564399247971	0.037598920207495	0.0827786596853203	0.01566073492875
CHD2	0.0762241373201391	0.366724810647412	0.0800853470034871	0.134457177744207	0.133799137849391	0.0440433627994332	0.0306214031066246	0.0301241060173874	0.133871361092409	0.0283840261569506	0.0247548144121191	0.112902025603816	0.00976166204596096
CLOCK	0.00310483914376902	0.0196714637380592	0.0345754949917323	0.0101571485193215	0.0189535000607475	0.00961254805452927	0.000454446230097716	0.0018172902721052	0.00207311704931279	0.00561512952000132	0.000883799951347575	0.00280605832574787	0.00180805086876468
CPEB1	0.0660892845408139	0.298759474743533	0.0988846626513309	0.171345158670728	0.107998363004597	0.0465134945109554	0.0344682480175017	0.0351793114312174	0.131080643433019	0.030968296567693	0.0605302617258936	0.118497464234472	0.00915094418312523
CREB1	0.0758333176433712	0.371940269110662	0.0824050847670206	0.149295496393659	0.117546832438185	0.0415771324781019	0.0320467057417565	0.0298002371817777	0.126013331203011	0.0249083129067706	0.022795672756629	0.119149420627952	0.00976029372060927
CREB3	0.0273710258472363	0.176619957134188	0.134139251023126	0.154941556820041	0.0946889257703216	0.0502748849996749	0.0289729210862263	0.0629140968456553	0.11340105270791	0.00989471419252486	0.0545793779967146	0.0772121119149125	0.0115094116961637
CREB3L1	0.0519481186877322	0.158857375185975	0.052417955346433	0.0698248974994883	0.114847369682517	0.0230974373094097	0.021141276519007	0.0328615993071688	0.100248745035832	0.0256110716779583	0.114748301570288	0.0681358584087476	0.0055935381608534
CREB3L2	0.0525020054780853	0.277081135405939	0.0642424826624278	0.14509716880169	0.113264828359006	0.0342522035295542	0.0286721713481993	0.0210727612677031	0.086559579409977	0.043732699912908	0.017449647889737	0.176843652874069	0.00931528755289679
CREBL2	0.0606018258586846	0.249120615849832	0.0881979579153688	0.215768508282367	0.161479904579725	0.057929898487329	0.034102099600305	0.015592329572034	0.112676556102311	0.00880527675937004	0.0218437207505718	0.103321043106066	0.0115771819298749
CREM	0.0738649553992013	0.338154757333913	0.0939965002507288	0.169330900804934	0.123505204365781	0.0474856161126882	0.0354793296969816	0.0325692321008623	0.144347233495919	0.0251115072073406	0.0264859445502137	0.106868843646798	0.00954987960782006
CTCF	0.0710592380451212	0.344053538952654	0.078275751366425	0.139864647372495	0.140708102895562	0.0424569352849031	0.0403652773830766	0.031437090370978	0.121568874421433	0.0285228183629381	0.0270437522841254	0.130382941473855	0.0115236419668245
