Adult arterial capillary	Adult venous EC (SELE+)	Adult venous EC (C7+)	Adult arterial EC	Cycling EC	Fetal arterial EC	Fetal venous capillary	LEC
CREB5	0.290146665721345	0.194549417773761	0.0717686150679868	0.0549808887560422	0.0638132009768179	0.127631208251787	0.238484510341658	0.116389360858494
CREM	0.302255065652114	0.184983136332445	0.0752406225344865	0.0607488457781133	0.0562629869571741	0.13256166932049	0.213338613858229	0.139013046145199
CTCF	0.271682453164226	0.165903072058935	0.0957044701758877	0.0777779344595405	0.0601847043424455	0.109775109557579	0.227707984550906	0.132505081261933
CTCFL	0.275984545061656	0.165458515178442	0.092130570304529	0.0567799451949189	0.0495673398078621	0.108132370497297	0.237868877797001	0.0924689680071398
CUX1	0.301844333065644	0.183935180362712	0.0980278876699893	0.0696530593976681	0.0485538683454649	0.109887836189893	0.21556542627677	0.127420544709937
DBP	0.381672817822595	0.181748261033564	0.079007976874628	0.0783086219735563	0.0407171103910159	0.0985146219894314	0.164536087662922	0.0802218288825437
DDIT3	0.258956248362352	0.1614889817336	0.0574879698257997	0.0488408820967712	0.0658632444231715	0.1474945598173	0.239298792435109	0.112545235015873
E2F1	0.313941903914436	0.198624016365564	0.0720337125641709	0.0525437240136633	0.0863266145867183	0.105457376240942	0.209130175143216	0.117859369897071
E2F2	0.222659933911941	0.114720734116248	0.0914345732264	0.0682406053228749	0.0959111194716114	0.0852916747984783	0.177217592876562	0.122471327052248
E2F3	0.313226493271141	0.171737129532502	0.0831233683467886	0.0710121227551536	0.0623262801618195	0.108201276292782	0.204709257118859	0.129584429493903
E2F4	0.360929415914586	0.200056957700604	0.0734230450495995	0.0588157007069732	0.0479777499385696	0.107763280996287	0.189170827014761	0.0883917338324204
E2F5	0.167967188930191	0.102796297164529	0.0725519963984852	0.0559655361672898	0.0285887210130916	0.0973040147707278	0.169231847097192	0.128976523860428
E2F6	0.00907050671737519	0.00459144263944078	0.00403380736940306	0.00362673693274296	0.00396913072979965	0.010154420819153	0.00908098997870721	0.00623815087949775
E2F7	0.289778103755866	0.193456679260821	0.0770093677982447	0.0640299048556736	0.110414829366911	0.105957753713705	0.2069998398947	0.11366238023096
E2F8	0.291544225150141	0.188567538142685	0.0719558506123432	0.0547784781422311	0.119129429735562	0.104552539617888	0.214452255709431	0.108844608154154
EBF2	0.371784459511286	0.0995273956208859	0.0619750704652545	0.061245051649635	0.0380874412282034	0.118462410699098	0.171949115630364	0.0177794245995406
EGR1	0.321846491594676	0.214425001842105	0.0758225655991297	0.0595176339148797	0.0550596320288014	0.115383715165736	0.205934381944222	0.106705518601988
EGR2	0.312316373406971	0.201918267811505	0.0806808446054877	0.073091675261692	0.0516783770412856	0.129232507438084	0.201735002223851	0.102090212744793
EGR3	0.278886584106574	0.169889445131481	0.0514454660098701	0.0554452794280543	0.0401873048759334	0.154100003747827	0.158512678241926	0.0446024262102622
EGR4	0.305364571316701	0.223737852772633	0.0997367045445193	0.0731828787794978	0.0294206024856842	0.0902400866053288	0.168370728508415	0.0970106361511274
EHF	0.275157453454198	0.14646140805582	0.0909958918452947	0.0702211917077386	0.0309925687289544	0.0813278106039845	0.121209952887535	0.186041474523075
ELF1	0.309416538393586	0.204897277726182	0.0868292783068629	0.0675185897330924	0.053258451870496	0.111095000359131	0.208206738192371	0.118801145801792
ELF2	0.292795149243288	0.173200481261793	0.0966726108436057	0.0778519420300184	0.0483449265837812	0.11709562057412	0.207218504628682	0.129539558375049
ELK1	0.322088614244961	0.195312734559713	0.106510348073542	0.0671881123513575	0.041274436098047	0.101079546541534	0.180467508257129	0.120497862280551
ELK3	0.302144565580158	0.195257202484989	0.0848873111256651	0.0606245525716822	0.0556855940826262	0.113756419125745	0.219825069377859	0.13052402356403
ELK4	0.297716316871593	0.199310960962196	0.0993751285575846	0.0744124271564207	0.0427986779504994	0.0965847534102589	0.204170859426991	0.126747229219352
EP300	0.179558023151633	0.0908472605445888	0.0790489433439918	0.0586343788078776	0.0125286581733678	0.0419402293333924	0.0823249787523636	0.092912868019408
ERF	0.313595443603471	0.173879334023512	0.0880387036873582	0.0644582457510499	0.047174373413267	0.132095171049368	0.21989227132303	0.0991350084105243
ERG	0.310423047311755	0.198329878802276	0.0990413125815749	0.074589287036661	0.0448970150801359	0.1038812285492	0.200239906355325	0.126785674537328
ESR2	0.169926767846007	0.155964154318129	0.121686956933709	0.0930496054158909	0.00417752459524523	0.0170477955702246	0.0413674712642936	0.0491141832363305
ESRRA	0.339908521634468	0.169628834317479	0.0738627254193649	0.0650969801190271	0.0408574266033038	0.121029140991718	0.180954452909272	0.102826858143939
ETS1	0.331996137890983	0.193787346237145	0.0778849611198175	0.0590861796847559	0.0532797076887133	0.118862116146667	0.209235072387593	0.10815513317712
ETS2	0.330373929307982	0.214190573276393	0.0817871126086196	0.0609078929726938	0.0516751191617967	0.107956173863486	0.199367006714695	0.106374159521879
ETV2	0.321469718505698	0.206550904152266	0.0700306438873939	0.0549658919101953	0.0562172054660124	0.0792318189520683	0.200381343103604	0.0889846510106478
ETV3	0.293987882197116	0.144522217047241	0.0961510818644953	0.0794961229722325	0.0380480845387264	0.108951410797652	0.191084701905111	0.105414615080854
ETV4	0.297785737143827	0.176044181532364	0.0644737178442492	0.0532251307221668	0.0612315498815534	0.15582026556279	0.229944371903339	0.11069046398306
ETV5	0.305553787725827	0.176714422480748	0.0723391943959214	0.0653650371147472	0.0544664808703759	0.160789249467202	0.218073834810519	0.0981201744146692
ETV6	0.281386727907331	0.192480168903987	0.100602318563741	0.0692899835233733	0.0560242821290446	0.123553916185566	0.225105685429978	0.102587084731873
ETV7	0.321585204362098	0.310734811886861	0.084430149258481	0.0478537306228186	0.0338332037829411	0.0466137521827782	0.148389490690571	0.0672662520597463
EWSR1	0.0144591994090529	0.00742698477501158	0.0159538188980709	0.0101377808939715	-8.88178419700125e-16	0.00866068818209842	0.00876800265789812	0.0163725713562097
FLI1	0.320993257789596	0.191042633182067	0.0899533581638182	0.0631784847224608	0.0511607412419812	0.111648471781011	0.211376011813415	0.113573988098614
FOS	0.313309010191585	0.206705041800183	0.0739261363677456	0.0604732442986287	0.0561182249870363	0.122365549798325	0.214441797094882	0.105617827936058
FOSB	0.319358936032343	0.223247129579454	0.0670790421794457	0.0570231345716434	0.0537109193633496	0.11337234003011	0.201926585856087	0.0977153958645028
FOSL1	0.311062833435226	0.214353298666956	0.10384523006453	0.0805040867862038	0.0472289791927296	0.101461766011504	0.184682354258395	0.115898972068835
FOSL2	0.327119412540392	0.209065982011965	0.0890842588351941	0.0681011230449791	0.0458988606741491	0.111149812632016	0.19350086833891	0.0974752241939761
FOXA3	0.114138985242179	0.248195008587517	0.152771159777091	0.0228996820339405	0.011007390357811	0.0247864683023519	0.0629322700604675	0.0529409885838317
FOXC1	0.259139368598181	0.220355626361207	0.140246333720265	0.0952300975646895	0.0371725494320443	0.085613406961091	0.184050133686072	0.113871774804061
FOXD1	0.0413736804919554	0.0252975043365025	0.0153804352729834	0.0246210618753622	0.00609280629814779	0.0247279620155351	0.0326996429165148	0.0190722723531616
FOXF2	0.282477306759453	0.125711363786611	0.0616815911250804	0.0767966445625407	0.0400957799465845	0.0930962920653594	0.157934888290276	0.129204680943844
FOXJ2	0.114883764984447	0.0768863173961687	0.147916218131959	0.0530855484729887	0.00696201370781158	0.0405759454966634	0.0532773138593733	0.0928037384565031
FOXJ3	0.18394009993187	0.0720104348000327	0.0591498124857562	0.0335640936389019	0.0419468514854225	0.0774148362459716	0.193226636622721	0.226880249647487
FOXK1	0.0347209122687642	0.0237336618552224	0.0336462342099947	0.0247486882250281	0.00987813940973192	0.045456108417932	0.039331323390276	0.0348723481728331
FOXN2	0.141486047672281	0.0668673649209289	0.0496383836574196	0.0563546379449101	0.0188298834911449	0.0363922371876668	0.0917856467983359	0.0395347670815598
FOXN3	0.316140545810099	0.159353720786714	0.109490628089643	0.103470815431895	0.0331374125617224	0.104956956209018	0.178380595088957	0.116967721892092
FOXO1	0.286193596047393	0.192150059282175	0.113626749788295	0.0789909379723623	0.0426758875333685	0.108580469931058	0.212702224959861	0.10785326643455
FOXO3	0.318468196609199	0.180663736803895	0.103217324598624	0.0918612026353952	0.0393757921894186	0.105440047600974	0.184525997765103	0.124869299927348
FOXP1	0.217975002597565	0.210293555088053	0.133539918606164	0.101774203815662	0.0219093559646903	0.0537958530959277	0.12834768035728	0.1389674460987
FOXP2	0.23735197349455	0.163617801453132	0.09376052375526	0.0826247720543406	0.0276085277755945	0.0953710112170459	0.146923372950857	0.182777788979467
GABPA	0.312943408473849	0.146349026767622	0.0938709443761248	0.0833616155987073	0.0287714365504789	0.125756194362662	0.170463182756801	0.107249638521511
GABPB1	0.328633855433444	0.218326616399694	0.0729753211713281	0.0564998709774804	0.057616002712415	0.0940820435840878	0.182566985993454	0.126017914032446
GADD45A	0.23059313155887	0.148093274446047	0.0555590301141048	0.0599261083204778	0.0615562395491369	0.181740927007247	0.233382655221985	0.127713205206589
GATA1	0.173479012009452	0.110863138749667	0.089764110852899	0.0696323940906711	0.0247134065296079	0.0874567898791345	0.134959067274964	0.110770107010999
GATA2	0.309947184961845	0.180821600444375	0.0974004210482925	0.0937525004810859	0.045630443903427	0.119651403386434	0.199262413317001	0.112862044595826
GATA3	0.335054545504736	0.181053747946397	0.0711810720285878	0.0766731957680056	0.0492555263076125	0.120084367983813	0.199885669093308	0.0892625608104233
GATA5	0.239928098296244	0.0640703011984505	0.0671670920483628	0.06362083292551	0.0318504041757881	0.0741511040356828	0.163318694689232	0.0669791019888774
GATA6	0.304642191088896	0.191295005282384	0.115505651679899	0.104987646108299	0.0425910195915248	0.104542109823013	0.19273588071162	0.102560574096479
GFI1	0.00828845956642532	0.00538539398576954	0.0043599735142732	0.000414054029276412	0	0.00281705593403048	0.0010539276436845	0.0044424643756461
GLI2	0.0496781002373397	0.0383497565930729	0.0272482696415749	0.0446799007599739	0.0812460511905221	0.176315799286519	0.282676524099709	0.0238436014910843
