IgA plasma	IgG plasma	IgA+IgG+ plasma	IgA-IgG- plasma	Pro-B	Naive B	Memory B	GC B	Cycling GC B	Cycling plasma
ATF5	0.355658638961067	0.101621083275071	0.0300852219608794	0.0418233846628122	0.00444926941118429	0.249809873416345	0.21422197377433	0.0599253867891226	0.0442012129505726	0.0103166683121453
ATF6	0.348399802167683	0.108002093488439	0.0320188612751878	0.0434314028915945	0.00477646284246458	0.250518365164249	0.209739984718037	0.0627623584174747	0.0396723769134192	0.0102413219882335
BACH1	0.26365681737764	0.0800654790633248	0.0244756373160693	0.0333728249374058	0.00554224278862103	0.312804158573254	0.258249427114189	0.0705347514139899	0.0461020101705237	0.00610556679445895
BATF	0.136253728888527	0.0568881008830383	0.0273678553265196	0.0282514376371557	0.00152266796337419	0.0903431274443006	0.151875857316407	0.0388833294177314	0.0174604498250641	0.00353744303002246
BATF3	0.250169217843349	0.0658852714804957	0.0252884457768148	0.0294797079477331	0.00503032596316177	0.314449963312651	0.256584136057675	0.0753271821185716	0.0567645385880375	0.00786411864131675
BAX	0.130565327324225	0.0413834903739461	0.0140344325405188	0.0189931208779536	0.00442866016391896	0.235428825201023	0.2439656352753	0.0496302357014092	0.0307294508992529	0.00722202300038388
BCL11A	0.218340855949385	0.0622174128144013	0.0194547289332887	0.0261300745438885	0.00584861071746712	0.349874787982337	0.267237362457083	0.090267857316331	0.059105511026022	0.00643851527249406
BCL11B	0.0073669214621177	0.00519447608528878	0.00398260727582123	0.00480389383571977	0.00438309293640327	0.0152243733395849	0.0196811598609805	0.00567465206378392	0.00333750107413067	0.000204989397524669
BCL3	0.240156566663575	0.072539462561078	0.0221568994309346	0.029662546876793	0.00537202703332407	0.323726006889017	0.267007048037698	0.0818715256820377	0.0493656377730665	0.00542477936700836
BCLAF1	0.240214644487962	0.0707636501948468	0.0210604285936129	0.0298868163169782	0.00635383294656622	0.327853608745704	0.268998547179568	0.0780347797920981	0.057368110246709	0.00679031666825625
BDP1	0.225790200962041	0.067572308963985	0.0204450763090902	0.0291017145248832	0.00685165784816777	0.329383919365117	0.279056254797046	0.0754618630444563	0.0508620339345627	0.00564117622270299
BHLHE40	0.240435552984437	0.0700228716013532	0.0216880723522934	0.0290535463504774	0.00501657922661503	0.329967299493764	0.278971437841503	0.068738919174872	0.0440775303339137	0.00569952857276457
BPTF	0.167051863818047	0.0602350444183853	0.0219660967116827	0.0258206133984272	0.00771758447561777	0.308740689252453	0.261874735079333	0.088113486318761	0.0494398263954616	0.00252888732456658
BRCA1	0.215804664198594	0.0647109848360105	0.020156797228329	0.0271944029091058	0.00697448271838863	0.326981629240804	0.267921374215935	0.0875008963081932	0.087132153900728	0.00781299140383651
