Goblet	Tuft	Paneth	M-like cell	Enteroendocrine	BEST4+ epithelial	DUOX2+ epithelial	Pediatric colonocyte	Adult colonocyte	Enterocyte	TA	Cycling TA	Fetal progenitor	Fetal cycling TA	Fetal colonocyte	Fetal enterocyte
CDX1	0.124999435928711	0.0221843847419345	0.0059211755922588	0.00371530446808888	0.0167753224363631	0.0543867052525235	0.0504770443981597	0.0581079944494288	0.131757793854006	0.0584374472558347	0.291461248284272	0.108340071763594	0.121380504651777	0.0518364210584593	0.0707478201660481	0.103815843303142
CDX2	0.100930744436309	0.00636370389233454	0.00423249838586104	0.00235341677530365	0.0114359277097741	0.0355182549362169	0.0200461224383474	0.0313470695505684	0.0808035388180564	0.0295315845813995	0.141399469972581	0.0717172557993005	0.117984728974695	0.0534541389284278	0.0501289538125724	0.0541274597558932
CEBPA	0.118917594661703	0.032436734584903	0.00848529216647964	0.00276587162927466	0.0283021822810173	0.0443707175297194	0.0423522949257829	0.0860964329462335	0.116108612783113	0.0629857201886647	0.267337001463012	0.0761626641459955	0.13014491073088	0.0512021132295439	0.0806276100011596	0.157685874976929
CEBPB	0.131395500538176	0.0331277738398716	0.0092204155057799	0.00310824356098083	0.0308527334262275	0.0476854861296397	0.0433719991439161	0.097604418674956	0.107392248446637	0.0542578775170832	0.283395725808723	0.0860566043857484	0.111842323088202	0.049299492565078	0.0956308805443522	0.113911836352295
CEBPD	0.13030585793137	0.029240278947107	0.00929946640182966	0.0030594408191994	0.0312253084891965	0.0457755826504614	0.0415439156067396	0.08489363829356	0.103733903356172	0.0588931619116215	0.27224174774084	0.094798727113753	0.131344216932297	0.0576405601161126	0.0901116201548471	0.125554014326243
CEBPE	0.0347530987771995	0.0436690806419666	0.00662234448161925	0.000237864972998381	0.0185168203817652	0.0114498951745365	0.00536393069820695	0.0687263704947083	0.0147364419078726	0.0129006081812403	0.0802070425833131	0.0422007375332143	0.0424583724878592	0.0312848716514877	0.0177985061416229	0.0232278545302351
CEBPZ	0.122298587704227	0.0358451248171009	0.00937739647712366	0.00264241111829178	0.0306603670762796	0.0409538769504009	0.0332461273408946	0.0834121464359153	0.0791984585021926	0.050506495110525	0.318412776276558	0.101574096058188	0.138605972270546	0.0635705200611656	0.0690935133743054	0.105012059563966
CHD2	0.117609565925961	0.068574715638287	0.0122524720389284	0.00227697427167362	0.032177795536219	0.043352580028439	0.0308785338118452	0.131353246685602	0.0802200130203862	0.0477306197297492	0.268755801990159	0.0471840251876604	0.113518892691476	0.0414605458922029	0.0662289663776088	0.100943235536987
CPEB1	0.00867817505419288	0.00344199146792623	0.00163359102532901	0	0.00101864119872297	0.0194116699862202	0.0107555059717136	0.0145679149259692	0.0171780398328147	0.0132830401377571	0.00871107603057364	0.00153131341208734	0.0031163915946989	0.00161193653839342	0.000118569556444181	0.000453248228215242
CREB3	0.17560804918535	0.027319572237603	0.0100388541991036	0.00372082808743146	0.0249056554854366	0.0467814745606914	0.0599791679006422	0.0677305834402681	0.118471450624217	0.0582467651783138	0.295234860576266	0.108653045050602	0.102639215846633	0.0412313240546603	0.0550382459642362	0.0944580172982391
CREB3L1	0.154773982876163	0.0302744606710206	0.00984437607275745	0.0035708357613935	0.0254690090982832	0.0483920273988135	0.0560039657680294	0.0727850035159959	0.121303637425911	0.0576043559747006	0.30191205443478	0.107320374326996	0.110114041493725	0.0459486785076241	0.0583421953855578	0.0957501727011308
CREB3L2	0.144553879511408	0.0270748456242881	0.00927458030403172	0.00338406763925736	0.0254627383924362	0.0455517157154731	0.0610117025308419	0.0675079067091221	0.125994272846737	0.0674239292913549	0.277611683878449	0.0929726591788976	0.118347194252423	0.0457540033991624	0.0594321528588458	0.129498143918251
CREB5	0.115846896024764	0.0310415854688217	0.00886309692442422	0.00286416603237061	0.0372491542714551	0.0472325899443526	0.036016740451595	0.0871074164270159	0.0991654755586111	0.0446047848288177	0.303746750026615	0.088578340081749	0.126735073990412	0.0584605670312812	0.0860172597460005	0.0947517420309826
CREM	0.133600798053109	0.0369408489698381	0.0110714518728871	0.00321927872869099	0.0465976848148035	0.0505521034281682	0.0412046425308826	0.115346081101457	0.104794243896393	0.0590337564086774	0.282178829404154	0.0756840448272227	0.087712587943344	0.0392211031176949	0.0944811339646486	0.095253565937656
CTCF	0.115660335364516	0.0612772066791827	0.0113190503536529	0.00201284340572949	0.033974577415412	0.040689754843232	0.0249916433534084	0.128266191208927	0.0702164181920708	0.0429025716339239	0.289552346124837	0.0792402331296193	0.117814681423281	0.0661222778459932	0.0580244045081646	0.0868153748339027
CTCFL	0.0755251165803498	0.0554048306418969	0.00852116559096394	0.00485963060220362	0.0166935689598166	0.0270226760250347	0.0189499355701822	0.0921801710087423	0.0574993559772384	0.0411927167630812	0.19881264002316	0.0217942320716061	0.0824030155597005	0.0350354522321855	0.0316875369441988	0.0553651182800261
CUX1	0.135508247729818	0.048486978148079	0.00994896929528344	0.00292815084535947	0.0276051007583965	0.0470818935060003	0.0434239219968295	0.104929221698717	0.118549748538784	0.0571552512944266	0.301382798171206	0.083685302318899	0.107151671569062	0.0401314282010733	0.0549113645675884	0.111773160925759
CUX2	0.00418794819893387	0.00836089099206749	0.00119428594629989	0.00045597141246112	0.173086517053237	0.00232956303967857	0.00703607880484336	0.00574924939793053	0.00122954104413597	0.0071503064593299	0.0149726347574269	0.00153606963204256	0.0200230975674628	0.00607344585228087	0.00215475596715786	0.0043167121432357
DAZAP1	0.00228046825748107	0.00234427501201628	0.00136723462881594	0	0.00405557094479614	0.00110027431296167	0.000309513797680405	0.00177077054456953	0.000322359743667677	0.000465555466012901	0.00423658932077275	0.000589073147977404	0.00430201493968418	0.00128613494220464	0.00048232753986166	0.00362648843660629
DBP	0.112477572582156	0.0383945619743609	0.00896850064443189	0.00283712354840382	0.0297289024256902	0.0430361518330196	0.0423826667839033	0.0995845276441994	0.124635637814229	0.105867948244127	0.275415061299247	0.0858714890484957	0.102192760203726	0.0490062717065771	0.0591743861855069	0.112196362740925
DDIT3	0.126967839713888	0.0308816909524743	0.00888006582109946	0.00295602657163774	0.0304927686725223	0.0471430256192581	0.0451967110000716	0.095932991543881	0.117059008506827	0.0556107781510393	0.272098349010176	0.082477034064637	0.11525539341568	0.0499532023685437	0.0909453905676169	0.129574863358311
DLX1	0.0751190713553929	0.118699324401498	0.0143681732875881	0.00264024352359316	0.0775344120269275	0.0250816620871639	0.0134466599980976	0.128730145587662	0.0630959314628876	0.0174304553206321	0.193688693987905	0.0160478906366297	0.0627038349067907	0.0228693100156417	0.0176279426633358	0.0425639335882126
DLX5	0.0684624296406702	0.0784490202535489	0.0120034727262588	0.00168420777604439	0.0288759022362498	0.0266542972630125	0.013284516479686	0.109970122748942	0.0441475950685949	0.0206598243240886	0.193512696606649	0.0134652412741835	0.0464329778701082	0.0121888249716259	0.0102082385869331	0.0352592058008934
DRGX	0.0531167257812525	0.00771649617717152	0.00807350841761179	0.0309370111636678	0.0046139998414344	0.0134578984129805	0.0357147110811197	0.0439967474464762	0.0422005722021315	0.0126332203730208	0.116615769648495	0.020725957149799	0.0281717464933477	0.0109513712119367	0.0224694475456828	0.0206606541149325
E2F1	0.124920925806463	0.0338337281781999	0.00911070838152594	0.0028150098152484	0.026929147424239	0.0405945389844838	0.0367147778650462	0.0888213363624467	0.0907898411462086	0.0495639673123971	0.310008724359522	0.133699639373094	0.129386918347323	0.0716680469946717	0.0590272117625011	0.0819413161606956
E2F2	0.124460440467379	0.0338554717653937	0.00817534608026294	0.00236349887304499	0.0176259883016359	0.0411419326732427	0.0454987907152755	0.113016535914076	0.128253048333087	0.0483452221602354	0.349807803695599	0.132970279742222	0.0691207050856485	0.036793277993891	0.0372152188266709	0.0519363022496887
E2F3	0.116664932179843	0.0480350899451507	0.0112371128165822	0.00285197082376831	0.0314033467981341	0.041416935100186	0.032466550048952	0.115970778204995	0.0644080167343792	0.0456815658392311	0.315591866217855	0.0873632053064877	0.128017576161407	0.0563786841794791	0.0637431678517743	0.0869500267503603
E2F4	0.130363019043453	0.0378903923311951	0.0105685782847069	0.00314699385591366	0.0255014341858947	0.0389569181570828	0.0422398794249584	0.107852652371374	0.0771333185253473	0.0590286640158627	0.333986197454842	0.122708392409909	0.109927466123821	0.0513513570316526	0.0457658673141058	0.064717554925015
E2F5	0.0418912869768958	0.0473465144548052	0.00811209485581477	0.000877619587611012	0.0310090562314791	0.0111578350043178	0.00355674957978114	0.221197410792906	0.0140878680268283	0.00573233696727105	0.0270746827497622	0.00353998442987336	0.0166683964577087	0.00888572942443988	0.0114584366591536	0.0168531577989783
E2F6	0.0301600526974148	0.011322090627254	0.000655798275859265	0.000724069026352026	0.00719897205477293	0.00691714775386043	0.0225382808076441	0.0347636233176088	0.0286777881232638	0.00242660478534318	0.0718606395793638	0.0169156934382819	0.00609051068968181	0.00133337447428328	0.00196965028490137	0.00332331343222503
E2F7	0.121437401942785	0.0516885308796161	0.0105613953119229	0.00166972060236137	0.0249139821986145	0.0295323604578643	0.0255611078618203	0.125985463315147	0.0616887131720079	0.0452715864118983	0.29007854632409	0.138370779487154	0.117862009848925	0.0807417895938809	0.0449033031466596	0.0591787654804283
E2F8	0.115105539918792	0.0356233181914921	0.00812260137816245	0.00258456233095739	0.028103966397276	0.0371500175267645	0.0299772295171483	0.0945330867195832	0.0685006868943517	0.040335673466541	0.302910528950574	0.14137398267868	0.139949847056059	0.0861422478318317	0.0649065909533074	0.079125212571156
EGR1	0.132776857971765	0.0359407493404591	0.00918077286646046	0.00310822384720211	0.0302511786483681	0.0484618867501806	0.0447578303517199	0.0944801140184696	0.115877486566811	0.055308808589028	0.289597138021986	0.093409044344527	0.119388997481922	0.0517324781155302	0.0780353068379418	0.107694012647318
EGR2	0.140260755688009	0.0360198724812274	0.0100511869938029	0.00327651246294824	0.0327043163941365	0.0467158998207531	0.0446729228609579	0.103625282233418	0.0982062088828002	0.0516075748264467	0.300021697583833	0.0974263070152827	0.105280956706034	0.0467799884298793	0.0833391117835217	0.0868978060949703
EGR3	0.152481849277064	0.0484538793255007	0.0125393145866363	0.00331802362350198	0.0427069155857509	0.0470673724135665	0.0434079236729213	0.119231695585484	0.09477643467756	0.0455186786450442	0.296009825636771	0.0930555447174473	0.0859426866091589	0.0386085947800753	0.0798585990906659	0.0710341911013438
EGR4	0.121400103068673	0.0713767094111559	0.0165649846104891	0.00143727644960046	0.10855684580886	0.034182320138492	0.0207529337731882	0.150924402360148	0.0498409763257144	0.0282725826693322	0.132983400082889	0.0365260997932637	0.0663750637093508	0.0295832836134886	0.100332548306101	0.0492134941639778
ELF1	0.119878413558177	0.0504034778989889	0.00971963904961726	0.00274318711395072	0.032995627205718	0.0459034518683603	0.037012268602863	0.0800356061189943	0.0984241119477752	0.060526958727064	0.297550010132893	0.066306499732028	0.137021027235028	0.0509571009797271	0.0731453049585186	0.118193012240675
ELF2	0.0895275078077248	0.0744657794737072	0.0125972117134248	0.00182731017599125	0.0306091802112972	0.0317050491149559	0.0181207983497507	0.132655338674805	0.0551395127171757	0.0326686435715554	0.215405816033593	0.0236967467010455	0.0647858402928095	0.0203373651585719	0.0356173269070592	0.0607175686868556
ELF3	0.134106909865537	0.0354566741604964	0.00906305421672426	0.00314425589347855	0.0270247225178623	0.0471567336566729	0.0460855925628356	0.0853353877445865	0.121273550880502	0.0582337366426452	0.303594912811412	0.0973082889994735	0.117216986299242	0.0485153835900546	0.0650383148822379	0.106162488642555
ELF4	0.124058565743422	0.0271143613601195	0.00636769867124454	0.00360555151899178	0.0207269198407292	0.0615880666385491	0.0612049178944646	0.0914995277869309	0.178886590441611	0.0707416840792724	0.271048510189683	0.0842174978397758	0.0880656661981709	0.0318732509461718	0.0552266137066393	0.109928141605763
ELF5	0.024326952001022	0.0315038779711526	0.00586920167906768	0.000863939886784792	0.021542503039977	0.0525411956274336	0.00403806950767349	0.0110169492453835	0.00707391137972679	0.0111732484490223	0.0436906487588736	0.0100068440511826	0.0937635014342454	0.0308169296062488	0.015423355079163	0.0366651085697033
ELK1	0.0303189024345015	0.0359332162101632	0.00570183731072893	0.000598766032441134	0.00793954268390673	0.0144492005872635	0.0310779537678276	0.0691724529253911	0.0526937594235722	0.0247771790760047	0.0780236108994259	0.0151023503309453	0.018551022505875	0.00886390394766823	0.00830705284938771	0.0170378948246954
ELK3	0.0581107699553732	0.0491347739906404	0.00863560257422646	0.00519898443005895	0.0220853105240869	0.0207745497899721	0.0260039548273162	0.089204544566425	0.069769987324322	0.0207708461141499	0.141640963085584	0.0112157030981818	0.0322417693248916	0.00836493643946579	0.00990738087704712	0.0286863183063718
ELK4	0.0405276335232277	0.0849513252712176	0.00931299761212723	0.00129786026681944	0.0193241701102433	0.0194520459570002	0.0125165541371205	0.0327718039223414	0.0691988321970159	0.0231324306031847	0.0512935305316663	0.0167381448705458	0.0344742129758919	0.0113222063502901	0.0105655761869088	0.0248420615728089
EMX2	0.0519837541863738	0.00977051097618042	0.0105993607809211	0.00514688217575021	0.0143710605290976	0.00866612877523187	0.00884246848470305	0.0401787350838666	0.0264514261242571	0.0194319540933127	0.0681972051990736	0.0198163499471873	0.00797285911148715	0.00318271316300922	0.00423037279700511	0.00452873961624856
EP300	0.121016324952471	0.0746465306934221	0.0127448745149886	0.00216691494581911	0.0245897691659902	0.0398974897103263	0.0314991801530785	0.133279147898064	0.0806075203134159	0.0444868854022443	0.264950386386283	0.034037987417692	0.0868403894495342	0.0293249484990307	0.052597541519926	0.0866451865650838
EPAS1	0.0449400946425733	0.0115302791147378	0.00526358224791679	0.00171472980442755	0.00347438459919891	0.0190747523475969	0.028764507095979	0.136633482447548	0.103190754542065	0.0208307552873891	0.0816139919521858	0.00678812425828457	0.010573188113822	0.00390253105393878	0.0215047440691366	0.032439315880725
